Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,year,month,Day,flight_time,Duration(sec)
Vistara,01/03/2019,Banglore,New Delhi,BLR → DEL,19:40,22:20,2h 40m,0,No info,21730,2019,1,3,evening,9600
Air Asia,01/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,0,No info,10715,2019,1,3,mid_night,10200
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,09:25 02 Mar,24h 35m,2,No info,25430,2019,1,3,morning,88500
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,23:25 02 Mar,38h 35m,2,No info,25430,2019,1,3,morning,138900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,00:45 02 Mar,15h 50m,1,No info,26890,2019,1,3,morning,57000
Air India,01/03/2019,Banglore,New Delhi,BLR → AMD → DEL,00:30,20:30,20h,1,1 Long layover,14752,2019,1,3,mid_night,72000
SpiceJet,01/03/2019,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7h 55m,1,No info,23267,2019,1,3,morning,28500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21:20,7h 15m,1,No info,36235,2019,1,3,afternoon,26100
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,0,No info,14306,2019,1,3,evening,10200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,19:10,5h 5m,1,No info,36235,2019,1,3,afternoon,18300
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → BBI → HYD → VGA → DEL,05:50,11:20 02 Mar,29h 30m,4,Change airports,17686,2019,1,3,mid_night,106200
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,06:45,09:25 02 Mar,26h 40m,2,2 Long layover,26480,2019,1,3,morning,96000
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,18:25,10h 25m,1,No info,26890,2019,1,3,morning,37500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,08:15 02 Mar,24h 15m,1,No info,22270,2019,1,3,morning,87300
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 02 Mar,21h 20m,1,No info,20800,2019,1,3,afternoon,76800
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → DEL,11:05,22:45,11h 40m,1,No info,14069,2019,1,3,morning,42000
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,07:30,12:20,4h 50m,1,No info,8110,2019,1,3,morning,17400
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,05:15,10:00,4h 45m,1,No info,8064,2019,1,3,mid_night,17100
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,10:25 02 Mar,11h 35m,1,1 Long layover,31825,2019,1,3,evening,41700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,09:30 02 Mar,19h 25m,1,No info,25735,2019,1,3,afternoon,69900
IndiGo,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,19:35,00:35 02 Mar,5h,1,No info,22153,2019,1,3,evening,18000
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,10:25 02 Mar,22h 45m,1,No info,25735,2019,1,3,morning,81900
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:15,20:35,4h 20m,1,No info,7917,2019,1,3,afternoon,15600
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,23:00 02 Mar,24h 10m,1,No info,25735,2019,1,3,evening,87000
Vistara,01/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,21:55,15h 15m,1,No info,18387,2019,1,3,morning,54900
GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,07:45,10:40,2h 55m,0,No info,13663,2019,1,3,morning,10500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,09:00 02 Mar,14h 20m,1,No info,31825,2019,1,3,evening,51600
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,20:20,6h 15m,1,No info,27992,2019,1,3,afternoon,22500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,05:05 02 Mar,6h 15m,1,No info,26890,2019,1,3,evening,22500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,09:30 02 Mar,21h 50m,1,No info,25735,2019,1,3,morning,78600
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → DEL,05:50,22:45,16h 55m,1,No info,14069,2019,1,3,mid_night,60900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,0,No info,18308,2019,1,3,evening,9600
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,16:20,10h 30m,2,Change airports,15119,2019,1,3,mid_night,37800
Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,17:00,08:50 02 Mar,15h 50m,1,1 Long layover,10981,2019,1,3,afternoon,57000
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,08:15 02 Mar,18h 10m,1,No info,22270,2019,1,3,afternoon,65400
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,00:45 02 Mar,10h 40m,1,No info,26890,2019,1,3,afternoon,38400
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,15:15,9h 30m,1,No info,26890,2019,1,3,mid_night,34200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,18:25,12h 40m,1,No info,26890,2019,1,3,mid_night,45600
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → DEL,11:05,19:50,8h 45m,1,1 Long layover,14594,2019,1,3,morning,31500
Vistara,01/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,10:25 02 Mar,27h 45m,1,No info,12371,2019,1,3,morning,99900
Air India,01/03/2019,Banglore,New Delhi,BLR → BBI → DEL,09:30,23:45,14h 15m,1,No info,12704,2019,1,3,morning,51300
Air India,01/03/2019,Banglore,New Delhi,BLR → GAU → DEL,13:50,18:40 02 Mar,28h 50m,1,No info,17198,2019,1,3,afternoon,103800
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,20:20 02 Mar,21h 30m,1,No info,25735,2019,1,3,evening,77400
Air India,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,13:00 02 Mar,25h 10m,1,1 Long layover,15434,2019,1,3,morning,90600
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16h 20m,2,No info,13576,2019,1,3,mid_night,58800
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,23:25,14h 35m,2,1 Short layover,26743,2019,1,3,morning,52500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,00:45 03 Mar,25h 55m,1,No info,26890,2019,1,3,evening,93300
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,18:25,9h 30m,1,No info,26890,2019,1,3,morning,34200
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,4h 55m,1,No info,8153,2019,1,3,afternoon,17700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,00:45 02 Mar,13h 5m,1,No info,26890,2019,1,3,morning,47100
Air India,01/03/2019,Banglore,New Delhi,BLR → BBI → DEL,09:30,12:05 02 Mar,26h 35m,1,No info,12704,2019,1,3,morning,95700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,19:10,13h 25m,1,No info,27992,2019,1,3,mid_night,48300
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,09:30 02 Mar,10h 40m,1,1 Long layover,31825,2019,1,3,evening,38400
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,19:10 02 Mar,20h 20m,1,No info,25735,2019,1,3,evening,73200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,16:10,10h 25m,1,No info,26890,2019,1,3,mid_night,37500
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 02 Mar,2h 55m,0,No info,12649,2019,1,3,evening,10500
Air India,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,23:55,12h 5m,1,Change airports,26092,2019,1,3,morning,43500
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,0,No info,10067,2019,1,3,morning,10500
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,08:50,11:10 02 Mar,26h 20m,2,No info,19372,2019,1,3,morning,94800
Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,17:00,23:10,6h 10m,1,No info,11628,2019,1,3,afternoon,22200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,09:00 02 Mar,21h 20m,1,No info,20800,2019,1,3,morning,76800
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,10:25 02 Mar,20h 20m,1,No info,20800,2019,1,3,afternoon,73200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,21:20,15h 35m,1,No info,27992,2019,1,3,mid_night,56100
Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,0,No info,25913,2019,1,3,afternoon,9900
IndiGo,01/03/2019,Banglore,New Delhi,BLR → IDR → DEL,13:40,18:35,4h 55m,1,No info,8707,2019,1,3,afternoon,17700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:25,5h 25m,1,No info,26890,2019,1,3,morning,19500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,20:20,13h 20m,1,No info,27992,2019,1,3,morning,48000
Vistara,01/03/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,0,No info,21520,2019,1,3,morning,9600
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,16:10,7h 15m,1,No info,26890,2019,1,3,morning,26100
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,12:15,5h 30m,1,No info,23677,2019,1,3,morning,19800
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 02 Mar,2h 50m,0,No info,11934,2019,1,3,evening,10200
Air India,01/03/2019,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,17:45,7h 15m,2,Change airports,17461,2019,1,3,morning,26100
Air India,01/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,23:20 02 Mar,25h 20m,1,Change airports,14305,2019,1,3,evening,91200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,09:30 02 Mar,14h 50m,1,1 Long layover,31825,2019,1,3,evening,53400
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,23:30,02:20 02 Mar,2h 50m,0,No info,10067,2019,1,3,evening,10200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,07:40 02 Mar,8h 50m,1,No info,26890,2019,1,3,evening,31800
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,00:45 02 Mar,7h 50m,1,No info,26890,2019,1,3,afternoon,28200
Vistara,01/03/2019,Banglore,New Delhi,BLR → DEL,21:10,00:05 02 Mar,2h 55m,0,No info,21730,2019,1,3,evening,10500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,21:20,14h 20m,1,No info,27992,2019,1,3,morning,51600
Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,0,No info,12526,2019,1,3,afternoon,10200
SpiceJet,01/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,0,No info,11690,2019,1,3,morning,10500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1,No info,26890,2019,1,3,morning,22500
Air India,01/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 02 Mar,15h 20m,1,No info,21130,2019,1,3,evening,55200
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,08:30,11:30,3h,0,No info,10067,2019,1,3,morning,10800
Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,17:00,12:15 02 Mar,19h 15m,1,No info,10246,2019,1,3,afternoon,69300
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,08:50 02 Mar,27h,3,No info,13081,2019,1,3,mid_night,97200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BDQ → DEL,05:50,12:20,6h 30m,1,Business class,28097,2019,1,3,mid_night,23400
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,15:15,8h 15m,1,No info,26890,2019,1,3,morning,29700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,21:20,12h 25m,1,1 Long layover,27992,2019,1,3,morning,44700
Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:45,5h,1,No info,52229,2019,1,3,mid_night,18000
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,18:25,11h 25m,1,No info,26890,2019,1,3,morning,41100
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,21:20,9h 40m,1,1 Long layover,27992,2019,1,3,morning,34800
Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,11:25,5h 40m,1,Business class,79512,2019,1,3,mid_night,20400
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,0,No info,12649,2019,1,3,afternoon,10200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,09:00 02 Mar,16h 5m,1,1 Long layover,25735,2019,1,3,afternoon,57900
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2,No info,17345,2019,1,3,morning,54300
Vistara,01/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,0,No info,12648,2019,1,3,morning,9600
GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,11:40,14:35,2h 55m,0,No info,11111,2019,1,3,morning,10500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 02 Mar,15h 20m,1,No info,26890,2019,1,3,afternoon,55200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,05:05 02 Mar,20h 10m,1,1 Long layover,26890,2019,1,3,morning,72600
GoAir,01/03/2019,Banglore,New Delhi,BLR → GOI → DEL,15:45,20:15,4h 30m,1,No info,12314,2019,1,3,afternoon,16200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,07:40 02 Mar,23h 40m,1,No info,22270,2019,1,3,morning,85200
GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,20:55,23:50,2h 55m,0,No info,18558,2019,1,3,evening,10500
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,12:15 02 Mar,30h 25m,3,No info,12346,2019,1,3,mid_night,109500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,13:15,5h 15m,1,No info,22270,2019,1,3,morning,18900
Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,22:55 02 Mar,29h 55m,2,No info,14887,2019,1,3,afternoon,107700
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,22:10,11h 5m,2,Change airports,13576,2019,1,3,morning,39900
Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,12:25,6h 40m,1,Business class,62427,2019,1,3,mid_night,24000
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1,No info,54826,2019,1,3,afternoon,21900
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1,No info,13302,2019,1,3,afternoon,17100
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,11:25 02 Mar,14h 50m,1,No info,31825,2019,1,3,evening,53400
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,18:25,6h 45m,1,No info,26890,2019,1,3,morning,24300
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,10:35 02 Mar,25h 45m,2,No info,31783,2019,1,3,morning,92700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,15:15,7h 15m,1,No info,22270,2019,1,3,morning,26100
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,11:25 02 Mar,12h 35m,1,1 Long layover,31825,2019,1,3,evening,45300
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16h 20m,2,Change airports,13366,2019,1,3,mid_night,58800
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,0,No info,14306,2019,1,3,evening,10500
Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,0,No info,25703,2019,1,3,evening,9900
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,13:00,15:50,2h 50m,0,No info,19685,2019,1,3,afternoon,10200
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,09:00 02 Mar,18h 55m,1,No info,20800,2019,1,3,afternoon,68100
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1,No info,22270,2019,1,3,morning,75900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,20:20,12h 20m,1,No info,27992,2019,1,3,morning,44400
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,0,No info,8028,2019,3,3,morning,9600
IndiGo,03/03/2019,Banglore,New Delhi,BLR → BOM → DEL,19:35,00:35 07 Mar,5h,1,No info,13292,2019,3,3,evening,18000
Air Asia,03/03/2019,Banglore,New Delhi,BLR → DEL,23:25,02:10 04 Mar,2h 45m,0,No info,6135,2019,3,3,evening,9900
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,01:30,04:15,2h 45m,0,No info,6144,2019,3,3,mid_night,9900
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,0,No info,7648,2019,3,3,morning,10500
Air India,03/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,17:25,08:45 07 Mar,15h 20m,2,No info,11570,2019,3,3,afternoon,55200
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,0,No info,6860,2019,3,3,mid_night,9900
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,0,No info,11423,2019,3,3,morning,9900
Air India,03/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,06:45,23:55,17h 10m,2,No info,10573,2019,3,3,morning,61800
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,21:10,00:05 07 Mar,2h 55m,0,No info,7608,2019,3,3,evening,10500
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,01:30,04:15,2h 45m,0,No info,6860,2019,3,3,mid_night,9900
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,0,No info,8588,2019,3,3,morning,9900
Air Asia,03/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,0,No info,7652,2019,3,3,mid_night,10200
Air India,03/03/2019,Banglore,New Delhi,BLR → HBX → BOM → AMD → DEL,12:00,23:55,11h 55m,3,No info,10573,2019,3,3,afternoon,42900
Air India,03/03/2019,Banglore,New Delhi,BLR → AMD → DEL,00:30,08:45,8h 15m,1,No info,11392,2019,3,3,mid_night,29700
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,06:10,08:55,2h 45m,0,No info,8851,2019,3,3,morning,9900
GoAir,03/03/2019,Banglore,New Delhi,BLR → DEL,20:55,23:50,2h 55m,0,No info,6722,2019,3,3,evening,10500
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,04:00,06:50,2h 50m,0,No info,6144,2019,3,3,mid_night,10200
Air India,03/03/2019,Banglore,New Delhi,BLR → TRV → COK → DEL,07:30,10:50 07 Mar,27h 20m,2,No info,12074,2019,3,3,morning,98400
Air India,03/03/2019,Banglore,New Delhi,BLR → BBI → DEL,09:30,16:20,6h 50m,1,No info,11654,2019,3,3,morning,24600
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,0,No info,7591,2019,3,3,evening,9900
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,0,No info,8028,2019,3,3,morning,9600
Air India,03/03/2019,Banglore,New Delhi,BLR → AMD → DEL,00:30,23:55,23h 25m,1,No info,10394,2019,3,3,mid_night,84300
Air Asia,03/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,0,No info,7074,2019,3,3,mid_night,10200
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,21:10,00:05 04 Mar,2h 55m,0,No info,7608,2019,3,3,evening,10500
Air India,03/03/2019,Banglore,New Delhi,BLR → HBX → BOM → NAG → DEL,12:00,10:35 07 Mar,22h 35m,3,No info,12358,2019,3,3,afternoon,81300
Air India,03/03/2019,Banglore,New Delhi,BLR → CCU → DEL,11:05,22:45,11h 40m,1,No info,11444,2019,3,3,morning,42000
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,0,No info,7648,2019,3,3,morning,10500
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,15:35,23:40,8h 5m,1,No info,6315,2019,3,3,afternoon,29100
Jet Airways,03/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 07 Mar,21h 5m,1,In-flight meal not included,13502,2019,3,3,morning,75900
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,20:30,23:20,2h 50m,0,No info,6860,2019,3,3,evening,10200
Air India,03/03/2019,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,21:25,10h 55m,2,No info,11003,2019,3,3,morning,39300
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,0,No info,10216,2019,3,3,afternoon,10200
Air India,03/03/2019,Banglore,New Delhi,BLR → VGA → DEL,10:30,11:20 07 Mar,24h 50m,1,No info,11003,2019,3,3,morning,89400
Air India,03/03/2019,Banglore,New Delhi,BLR → BBI → DEL,09:30,23:45,14h 15m,1,No info,11654,2019,3,3,morning,51300
